%psbl,StagePoints,HF,Time,A,B,C,D,M,NPM,NS,Proc
100.000000,140.000000,132.000000,7.796800,16.930000,24.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
98.320000,137.642400,132.000000,7.665500,17.220000,24.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95.060000,133.083300,132.000000,7.411600,17.810000,25.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000
92.860000,130.007400,138.000000,7.240300,19.060000,27.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91.030000,127.436100,122.000000,7.097100,17.190000,20.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
90.870000,127.224200,132.000000,7.085300,18.630000,26.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000
89.550000,125.364000,130.000000,6.981700,18.620000,24.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
89.350000,125.096400,130.000000,6.966800,18.660000,23.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.600000,121.246700,126.000000,6.752400,18.660000,21.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85.370000,119.521100,128.000000,6.656300,19.230000,23.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000
85.250000,119.345100,132.000000,6.646500,19.860000,25.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000
84.820000,118.747200,132.000000,6.613200,19.960000,24.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
84.510000,118.314400,136.000000,6.589100,20.640000,26.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
83.780000,117.287300,126.000000,6.531900,19.290000,22.000000,0.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000
83.660000,117.125700,131.000000,6.522900,18.550000,25.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
83.650000,117.104200,132.000000,6.521700,20.240000,24.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82.870000,116.017900,130.000000,6.461200,20.120000,23.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
81.750000,114.446700,132.000000,6.373700,20.710000,24.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
