%psbl,StagePoints,HF,Time,A,B,C,D,M,NPM,NS,Proc
100.000000,110.000000,100.000000,9.643200,10.370000,18.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
96.250000,105.872900,103.000000,9.281400,10.020000,20.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
95.470000,105.020800,94.000000,9.206700,10.210000,16.000000,0.000000,4.000000,2.000000,0.000000,0.000000,0.000000,0.000000
94.550000,104.002200,94.000000,9.117400,10.310000,15.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
87.690000,96.456500,92.000000,8.455900,10.880000,14.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
86.420000,95.058000,96.000000,8.333300,11.520000,15.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86.240000,94.862900,91.000000,8.316200,9.740000,15.000000,0.000000,5.000000,1.000000,1.000000,0.000000,0.000000,0.000000
81.180000,89.303100,85.000000,7.828800,9.580000,13.000000,0.000000,6.000000,2.000000,1.000000,0.000000,0.000000,0.000000
81.070000,89.175400,96.000000,7.817600,12.280000,17.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000
80.320000,88.357500,100.000000,7.745900,12.910000,18.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
79.960000,87.953700,98.000000,7.710500,12.710000,18.000000,0.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000
79.570000,87.531600,94.000000,7.673500,12.250000,15.000000,0.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000
77.900000,85.695100,90.000000,7.512500,11.980000,14.000000,0.000000,6.000000,2.000000,0.000000,0.000000,0.000000,0.000000
77.580000,85.339200,90.000000,7.481300,12.030000,12.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76.810000,84.496200,84.000000,7.407400,11.340000,12.000000,0.000000,7.000000,3.000000,0.000000,0.000000,0.000000,0.000000
74.750000,82.227400,102.000000,7.208500,14.150000,18.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74.490000,81.934200,90.000000,7.182800,12.530000,14.000000,0.000000,6.000000,2.000000,0.000000,0.000000,0.000000,0.000000
71.850000,79.030000,93.000000,6.928200,11.980000,15.000000,0.000000,6.000000,0.000000,1.000000,0.000000,0.000000,0.000000
71.360000,78.492700,92.000000,6.881100,13.370000,15.000000,0.000000,5.000000,2.000000,0.000000,0.000000,0.000000,0.000000
71.030000,78.130000,100.000000,6.849300,14.600000,17.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68.910000,75.802900,93.000000,6.645300,12.490000,15.000000,0.000000,6.000000,0.000000,1.000000,0.000000,0.000000,0.000000
68.070000,74.882400,90.000000,6.564600,13.710000,15.000000,0.000000,4.000000,3.000000,0.000000,0.000000,0.000000,0.000000
67.870000,74.658800,104.000000,6.545000,15.890000,19.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66.830000,73.515800,101.000000,6.444800,14.120000,19.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
66.810000,73.488500,90.000000,6.442400,13.970000,14.000000,0.000000,6.000000,2.000000,0.000000,0.000000,0.000000,0.000000
66.290000,72.921500,98.000000,6.392700,15.330000,18.000000,0.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000
66.060000,72.666000,96.000000,6.370300,15.070000,17.000000,0.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000
65.930000,72.521200,96.000000,6.357600,15.100000,15.000000,0.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64.770000,71.243600,88.000000,6.245600,14.090000,12.000000,0.000000,9.000000,1.000000,0.000000,0.000000,0.000000,0.000000
64.190000,70.610500,84.000000,6.190100,13.570000,12.000000,0.000000,7.000000,3.000000,0.000000,0.000000,0.000000,0.000000
63.640000,70.009300,92.000000,6.137400,14.990000,14.000000,0.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000
63.160000,69.470900,91.000000,6.090200,13.300000,15.000000,0.000000,5.000000,1.000000,1.000000,0.000000,0.000000,0.000000
62.760000,69.034000,84.000000,6.051900,13.880000,14.000000,0.000000,3.000000,5.000000,0.000000,0.000000,0.000000,0.000000
